question,expected,actual_1,actual_2,actual_3,verdict
What is the base selling price of Cactus Fruit?,The base selling price of Cactus Fruit is 75g.,The base selling price of Cactus Fruit is 75g.,The base selling price of a Cactus Fruit is 75g.,The base selling price of a Cactus Fruit is 75g.,PASS
What happens when Fireworks (Green) are used in Stardew Valley?,"When used, Fireworks (Green) are placed on the ground, ascend into the air after a delay, and create green sparkles in the shape of a Junimo, with the player's screen briefly tinted green.","When Fireworks (Green) are used, they launch into the air after a short delay and create green sparkles shaped like a Junimo. The screen briefly gets a green tint during the display.","When Fireworks (Green) are used, they are placed on the ground, and after a short delay, they shoot into the air, creating green sparkles in the shape of a Junimo. The player's screen is briefly tinted green for added effect.","When Fireworks (Green) are used, they launch into the air, creating green sparkles in the shape of a Junimo. The screen is also momentarily tinted green. They can also be used in tailoring to create the green Party Hat or serve as a green dye in dyeing projects.",PASS
Where can players purchase Fireworks (Green) in Stardew Valley?,Fireworks (Green) can be purchased from Qi's Walnut Room for 1 Qi Gem or from the Casino for 200 tokens.,Fireworks (Green) can be purchased from Qi's Walnut Room for 1 Qi Gem or from the Casino for 200 tokens.,Players can purchase Fireworks (Green) from Qi's Walnut Room for 1 Qi Gem or from the Casino for 200 coins.,Players can purchase Fireworks (Green) from Qi's Walnut Room for 1 Qi Gem or from the Casino for 200 coins.,FAIL
What does an oak tree produce when tapped?,An oak tree produces oak resin when tapped.,"Tapping an oak tree produces Oak Resin. It takes 7 days to collect with a regular tapper, or 3 days with a heavy tapper.","When tapped, an oak tree produces Oak Resin. It takes 7 days with a normal Tapper or 3 days with a Heavy Tapper.","When tapped, an oak tree produces Oak Resin every 7 days with a normal Tapper, or every 3 days with a Heavy Tapper.",PASS
What seed is used to grow an oak tree in Stardew Valley?,An oak tree grows from an acorn.,"To grow an oak tree, you need an Acorn. It can be planted in tillable ground, maturing over time, especially in spring, summer, or fall.","An Oak Tree grows from an Acorn. Acorns can be planted in tillable ground, and they grow through five stages, maturing in about 18 days on average under normal conditions. Tree Fertilizer can speed up their growth.",The seed required to grow an oak tree is an Acorn.,PASS
Where can the Mahogany Bench be purchased?,"The Mahogany Bench can be purchased at the Carpenter's Shop, the Traveling Cart, and the Furniture Catalogue.","The Mahogany Bench can be purchased for 2,000g from the Carpenter's Shop when in stock. It can also appear at the Traveling Cart for 250–2,500g or be obtained from the Furniture Catalogue for free if you own it.","The Mahogany Bench can be purchased at the Carpenter's Shop for 2,000g. It's also available from the Traveling Cart for 250–2,500g or from the Furniture Catalogue for free (0g).","The Mahogany Bench can be purchased at the Carpenter's Shop for 2,000g or from the Furniture Catalogue for free if you own it. It also occasionally appears at the Traveling Cart for 250–2,500g.",PASS
What is the sell price of the Mahogany Bench?,The Mahogany Bench cannot be sold.,The Mahogany Bench cannot be sold.,The Mahogany Bench cannot be sold.,The Mahogany Bench cannot be sold.,PASS
Where can the Plasma TV be purchased in Stardew Valley?,"The Plasma TV can be purchased from the Carpenter's Shop for 4,500g or from the Furniture Catalogue for 0g.","The Plasma TV can be purchased at the Carpenter's Shop for 4,500g after you upgrade your farmhouse for the first time. It is also available for free from the Furniture Catalogue, if you have access to it. Let me know if you need details!","The Plasma TV can be purchased from the Carpenter's Shop for 4,500g after upgrading the farmhouse for the first time. It is also available for free from the Furniture Catalogue if you have access to it. Let me know if you need anything else!","The Plasma TV can be purchased at the Carpenter's Shop for 4,500g after upgrading the farmhouse for the first time. It is also available from the Furniture Catalogue for free.",FAIL
What is the price of the Plasma TV from the Furniture Catalogue?,The Plasma TV costs 0g from the Furniture Catalogue.,The Plasma TV is available from the Furniture Catalogue for 0g.,The Plasma TV can be obtained from the Furniture Catalogue for free (0g).,"The Plasma TV is available from the Furniture Catalogue for 0g, allowing you to obtain it at no cost.",PASS
What is the growth time for Powdermelon in Stardew Valley?,The growth time for Powdermelon is 7 days.,The Powdermelon takes 7 days to grow from Powdermelon Seeds. It can grow during the winter season.,The Powdermelon takes 7 days to grow fully.,Powdermelon takes a total of 7 days to grow.,PASS
What is the name of the seeds used to grow Powdermelon?,The seeds used to grow Powdermelon are called Powdermelon Seeds.,The seeds used to grow Powdermelon are called Powdermelon Seeds.,The seeds used to grow Powdermelon are called Powdermelon Seeds.,The seeds used to grow Powdermelon are called Powdermelon Seeds.,PASS
Where can the Blue Ribbon hat be purchased?,The Blue Ribbon hat can be purchased from the Abandoned House.,"The Blue Ribbon hat can be purchased from the Abandoned House for 1,000g after earning the ""Blue Ribbon"" achievement, which is awarded for getting first place in the Stardew Valley Fair competition.","The Blue Ribbon hat can be purchased from the Abandoned House for 1,000g after earning the ""Blue Ribbon"" achievement, which is given for placing first in the Stardew Valley Fair competition.","The Blue Ribbon hat can be purchased for 1,000g from the Abandoned House after earning the ""Blue Ribbon"" achievement by placing first in the Fair competition.",PASS
What is the price of the Blue Ribbon hat?,"The Blue Ribbon hat costs 1,000g.","The Blue Ribbon hat costs 1,000g and can be purchased from the Abandoned House, but only after earning the ""Blue Ribbon"" achievement by placing first in the Stardew Valley Fair competition.","The Blue Ribbon hat costs 1,000g and can be purchased from the Abandoned House after earning the ""Blue Ribbon"" achievement by winning first place in the Stardew Valley Fair competition.","The Blue Ribbon hat costs 1,000g and can be purchased from the Abandoned House after earning the ""Blue Ribbon"" achievement by getting first place in the Fair competition.",PASS
Where can the Bone Rug be obtained from before the 14-Heart event?,The Bone Rug can be obtained from the Furniture Catalogue.,"The Bone Rug is only available through the Furniture Catalogue for 0g before Penny's 14-Heart event, as it cannot otherwise be acquired without triggering her event.","The Bone Rug can only be obtained during Penny's 14-Heart event if you choose the Pirate Theme for the Bedroom. Before this event, it is unavailable from other sources.",The Bone Rug is available for purchase from the Furniture Catalogue for 0g. Another source is Penny's 14-heart event if the Pirate Theme is chosen.,PASS
Can the Bone Rug be placed outdoors?,The Bone Rug can't be placed outdoors.,"No, the Bone Rug, like other rugs, cannot be placed outdoors.","Rugs, including the Bone Rug, cannot be placed outdoors. They are intended only for indoor use.","No, the Bone Rug cannot be placed outdoors. Rugs, including the Bone Rug, are designed only for indoor use.",PASS
